,Brewery Name,Beer Name,Beer Type,ABV %,Num of Ratings,Avg Rating
187,Tree House Brewing Company,Indulgence,Stout - Sweet / Milk,9.0,12,4.46
188,Tree House Brewing Company,Intemperance,Stout - Sweet / Milk,9.9,30,4.34
189,Tree House Brewing Company,Iridescent,IPA - Imperial,8.0,63,4.32
190,Tree House Brewing Company,Iridescent W/ Peach,IPA - New England,8.0,1,4.05
191,Tree House Brewing Company,Jingle Juice,IPA - Imperial,7.9,59,4.38
192,Tree House Brewing Company,Jjjuiceee Project,IPA - Imperial,8.7,0,0.0
193,Tree House Brewing Company,JJJuliusss!,IPA - New England,6.8,970,4.67
194,Tree House Brewing Company,Jolly Juice,IPA - Imperial,8.2,24,4.4
195,Tree House Brewing Company,Juice Machine,IPA - New England,8.2,1181,4.7
196,Tree House Brewing Company,Juice Project,IPA - Imperial,8.4,68,4.49
197,Tree House Brewing Company,Juice Project - Citra + Amarillo,IPA - Imperial,8.3,30,4.36
198,Tree House Brewing Company,Juice Project - Citra + Barbe Rouge,IPA - New England,8.4,15,4.27
199,Tree House Brewing Company,Juice Project - Citra + Bru-1,IPA - New England,8.4,22,4.34
200,Tree House Brewing Company,Juice Project - Citra + El Dorado,IPA - Imperial,8.4,0,0.0
201,Tree House Brewing Company,Juice Project - Citra + Galaxy,IPA - Imperial,8.4,35,4.44
202,Tree House Brewing Company,Juice Project - Citra + Idaho 7,IPA - Imperial,8.4,17,4.28
203,Tree House Brewing Company,Juice Project - Citra + Mosaic,IPA - Imperial,8.4,24,4.38
204,Tree House Brewing Company,Juice Project - Citra + Simcoe,IPA - Imperial,8.4,19,4.4
205,Tree House Brewing Company,Juice Project - Citra + Strata,IPA - Imperial,8.4,22,4.39
206,Tree House Brewing Company,Julius,IPA - New England,6.8,4914,4.68
207,Tree House Brewing Company,Julius W/ Guava,IPA - New England,6.8,12,4.48
208,Tree House Brewing Company,Julius W/ Mango,IPA - New England,6.8,13,4.55
209,Tree House Brewing Company,Julius W/ Peach,IPA - New England,6.8,22,4.56
210,Tree House Brewing Company,King JJJuliusss,IPA - New England,8.4,742,4.77
211,Tree House Brewing Company,King Julius,IPA - New England,8.3,1388,4.75
212,Tree House Brewing Company,Let The Light In,IPA - New England,8.7,28,4.33
213,Tree House Brewing Company,Lights On,Pale Ale - American,5.3,1288,4.34
214,Tree House Brewing Company,Lights On W/ Coconut,Pale Ale - American,5.3,1,4.45
215,Tree House Brewing Company,Lights Out,Pale Ale - American,5.4,377,4.38
216,Tree House Brewing Company,Lights Out W/ Guava,Pale Ale - American,5.4,2,4.78
217,Tree House Brewing Company,Lights Out W/ Peach,Pale Ale - American,5.4,2,4.47
218,Tree House Brewing Company,Little Fire,Lager - Helles,5.2,23,4.13
219,Tree House Brewing Company,Little Nugget,Stout - American Imperial,10.4,28,4.44
220,Tree House Brewing Company,Little Ripper,Pale Ale - American,5.2,1,4.02
221,Tree House Brewing Company,Love,Stout - Sweet / Milk,10.3,42,4.38
222,Tree House Brewing Company,Lucky,Wild Ale,5.6,1,4.43
223,Tree House Brewing Company,Luminescent,IPA - Imperial,8.1,13,4.27
224,Tree House Brewing Company,Ma,Red Ale - American Amber / Red,6.8,463,4.1
225,Tree House Brewing Company,Mega Treat,IPA - New England,8.7,67,4.45
226,Tree House Brewing Company,Miles To Go Before I Sleep,Stout - Sweet / Milk,9.1,186,4.51
227,Tree House Brewing Company,Miles To Go Before I Sleep - Marshmallow,Stout - Sweet / Milk,9.1,3,4.72
228,Tree House Brewing Company,Miles To Go Before I Sleep - Oreo,Stout - Sweet / Milk,9.1,5,4.68
229,Tree House Brewing Company,Moment Of Clarity,Stout - Sweet / Milk,7.7,513,4.55
230,Tree House Brewing Company,Moment Of Clarity - Extra Maple,Stout - Sweet / Milk,7.7,21,4.77
231,Tree House Brewing Company,Moment Of Clarity - Extra Maple & Chocolate Truffle,Stout - Sweet / Milk,7.7,18,4.75
232,Tree House Brewing Company,Moment Of Clarity - Marshmallow,Stout - Sweet / Milk,7.7,7,4.7
233,Tree House Brewing Company,Moment Of Clarity - Oreo,Stout - Sweet / Milk,7.7,10,4.69
234,Tree House Brewing Company,Moment Of Insanity,Stout - Sweet / Milk,7.7,3,4.66
235,Tree House Brewing Company,Native Eight,Farmhouse Ale - Saison,5.6,5,4.38
236,Tree House Brewing Company,Native Five,Farmhouse Ale - Saison,6.0,29,4.45
237,Tree House Brewing Company,Native Nine,Wild Ale,5.6,7,4.35
238,Tree House Brewing Company,Native One,Wild Ale,6.3,100,4.33
239,Tree House Brewing Company,Native Seven,Farmhouse Ale - Bière de Garde,6.3,16,4.36
240,Tree House Brewing Company,Nervous Energy,Stout - Sweet / Milk,8.1,157,4.43
241,Tree House Brewing Company,Nervous Energy - Chocolate Truffle,Stout - Sweet / Milk,7.6,1,4.57
242,Tree House Brewing Company,New Decade Do-Over,IPA - Imperial,8.6,31,4.37
243,Tree House Brewing Company,Nomad,Lager - European Dark,4.8,92,4.06
244,Tree House Brewing Company,Old Man,Bitter - English Extra Special / Strong Bitter (ESB),5.4,368,3.89
245,Tree House Brewing Company,On The Fly,IPA - New England,8.1,162,4.43
246,Tree House Brewing Company,Outlier,Kölsch,4.3,55,4.0
247,Tree House Brewing Company,Passion Fruit & Hibiscus Tart,Sour - Fruited Kettle Sour,4.0,33,4.09
248,Tree House Brewing Company,Passion Fruit Tart,Sour - Fruited Kettle Sour,4.0,9,3.79
249,Tree House Brewing Company,Peach Tart,Sour - Berliner Weisse,5.4,88,4.09
250,Tree House Brewing Company,Perfect Storm,IPA - New England,8.0,249,4.48
251,Tree House Brewing Company,Perfect Storm W/ Guava,IPA - Imperial,8.0,9,4.39
252,Tree House Brewing Company,Perfect Storm W/ Passion Fruit & Coconut,IPA - New England,8.0,2,4.83
253,Tree House Brewing Company,Perfect Storm W/ Peach,IPA - Imperial,8.0,6,4.58
254,Tree House Brewing Company,Permanence,Stout - Sweet / Milk,10.4,95,4.51
255,Tree House Brewing Company,Persist,Stout - American Imperial,0.0,35,4.58
256,Tree House Brewing Company,Pop Art,Porter - Robust,8.2,38,4.1
257,Tree House Brewing Company,Present Moment,Pale Ale - American,5.4,339,4.25
258,Tree House Brewing Company,Pride & Purpose,Pale Ale - American,5.1,239,4.24
259,Tree House Brewing Company,Punch,IPA - New England,6.9,148,4.33
260,Tree House Brewing Company,Punch W/ Guava,IPA - American,6.9,0,0.0
261,Tree House Brewing Company,Punch W/ Peach,IPA - American,6.9,2,4.61
262,Tree House Brewing Company,Quadruple Shot,Stout - American Imperial,11.2,21,4.53
263,Tree House Brewing Company,Quadruple Shot - Extra Dark,Stout - American Imperial,11.2,9,4.64
264,Tree House Brewing Company,Radiant,IPA - Imperial,8.0,85,4.41
265,Tree House Brewing Company,Raven,IPA - Black / Cascadian Dark Ale,7.0,103,4.04
266,Tree House Brewing Company,Rover,Lager - Munich Dunkel,5.2,38,4.04
267,Tree House Brewing Company,Sap,IPA - New England,7.0,1540,4.34
268,Tree House Brewing Company,Sap W/ Guava,IPA - American,7.3,2,4.13
269,Tree House Brewing Company,Saturated,IPA - Imperial,8.3,108,4.33
270,Tree House Brewing Company,Saturated W/ Peach,IPA - Imperial,8.3,2,4.32
271,Tree House Brewing Company,Sense Of Wonder,Stout - Sweet / Milk,9.6,110,4.42
272,Tree House Brewing Company,Sense Of Wonder - Oreo,Stout - Sweet / Milk,9.6,2,4.55
273,Tree House Brewing Company,Seven,IPA - Imperial,8.6,115,4.39
274,Tree House Brewing Company,Simple Life,Stout - Sweet / Milk,9.8,103,4.37
275,Tree House Brewing Company,Simple Life - Banana,Stout - Sweet / Milk,9.8,3,4.52
276,Tree House Brewing Company,Simple Life - Chocolate Truffle,Stout - Sweet / Milk,9.8,2,4.52
277,Tree House Brewing Company,Simple Life - Marshmallow,Stout - Sweet / Milk,9.8,2,4.81
278,Tree House Brewing Company,Simple Life - Oreo,Stout - Sweet / Milk,9.8,2,4.6
279,Tree House Brewing Company,Single Shot,Stout - Sweet / Milk,6.4,508,4.38
280,Tree House Brewing Company,Single Shot - Intense Vanilla,Stout - Sweet / Milk,6.4,1,4.5
281,Tree House Brewing Company,Single Shot - Marshmallow,Stout - Sweet / Milk,6.4,6,4.61
282,Tree House Brewing Company,Single Shot - Vanilla Bean,Stout - Sweet / Milk,6.4,332,4.45
283,Tree House Brewing Company,Single Shot - Vanilla Bean & Marshmallow,Stout - Sweet / Milk,6.4,4,4.56
284,Tree House Brewing Company,Single Shot - Vanilla Bean Chocolate Truffle,Stout - Sweet / Milk,6.4,0,0.0
285,Tree House Brewing Company,Snow,IPA - New England,7.8,290,4.35
286,Tree House Brewing Company,Snow W/ Guava,IPA - New England,7.8,3,4.49
287,Tree House Brewing Company,"Somewhere, Something Incredible Is Waiting To Be Known",Stout - Sweet / Milk,7.9,408,4.52
288,Tree House Brewing Company,Space & Time,Stout - American Imperial,11.0,162,4.22
289,Tree House Brewing Company,Spacetime Continuum,Stout - American Imperial,11.3,39,4.34
290,Tree House Brewing Company,Spacetime Continuum - Coconut,Stout - American Imperial,11.9,35,4.34
291,Tree House Brewing Company,Spiritual Unrest,Stout - Sweet / Milk,8.0,75,4.32
292,Tree House Brewing Company,Spring,IPA - New England,7.9,171,4.35
293,Tree House Brewing Company,Spring w/Guava,IPA - Imperial,7.9,2,4.5
294,Tree House Brewing Company,SSSappp,IPA - New England,7.0,395,4.37
295,Tree House Brewing Company,SSSappp W/ Peach,IPA - American,7.0,0,0.0
296,Tree House Brewing Company,Stardust,Stout - Sweet / Milk,10.2,45,4.37
297,Tree House Brewing Company,Steadfast,Stout - American Imperial,0.0,18,4.36
298,Tree House Brewing Company,Summer,IPA - New England,8.1,254,4.42
299,Tree House Brewing Company,Summer W/ Guava,IPA - New England,8.1,3,4.65
300,Tree House Brewing Company,Summer W/ Passion Fruit,IPA - New England,8.1,3,4.19
301,Tree House Brewing Company,Summer W/ Peach,IPA - New England,8.1,4,4.66
302,Tree House Brewing Company,Super Cachet,IPA - Imperial,8.4,31,4.27
303,Tree House Brewing Company,Super Radiant,IPA - New England,8.2,63,4.31
304,Tree House Brewing Company,Super Sap,IPA - New England,7.9,489,4.43
305,Tree House Brewing Company,Super Saturated,IPA - Imperial,8.5,29,4.33
306,Tree House Brewing Company,Super Treat,IPA - New England,8.3,295,4.47
307,Tree House Brewing Company,Super Treat W/ Guava,IPA - Imperial,8.3,2,4.48
308,Tree House Brewing Company,Super Treat W/ Passionfruit,IPA - Imperial,8.1,2,4.72
309,Tree House Brewing Company,Super Typhoon,IPA - New England,7.7,480,4.43
310,Tree House Brewing Company,Super Typhoon W/ Guava,IPA - Imperial,7.7,11,4.4
311,Tree House Brewing Company,Super Typhoon W/ Peach,IPA - New England,7.7,4,4.66
312,Tree House Brewing Company,Super Vivid,IPA - Imperial,8.5,29,4.3
313,Tree House Brewing Company,Surrealism,Porter - Robust,7.5,29,4.22
314,Tree House Brewing Company,Sweet Ride - Cookies & Cream Banana Cream Sundae,Stout - Sweet / Milk,10.9,17,4.41
315,Tree House Brewing Company,Sweet Ride - Espresso + Raspberry + Vanilla,Stout - Sweet / Milk,10.5,17,4.25
